# SCOWL rarity tier for scowl-60: smallest SCOWL size each word appears at (lower = more common; generated by scripts/build_wordlist.py)
agent	35
agents	35
ageratum	60
ages	35
agglomerate	50
agglomerated	50
agglomerates	50
agglomerating	50
agglomeration	50
agglomerations	50
agglutinate	50
agglutinated	50
agglutinates	50
agglutinating	50
agglutination	50
agglutinations	50
aggrandize	50
aggrandized	50
aggrandizement	50
aggrandizes	50
aggrandizing	50
aggravate	35
aggravated	35
aggravates	35
aggravating	35
aggravatingly	60
aggravation	35
aggravations	35
aggregate	35
aggregated	35
aggregates	35
aggregating	35
aggregation	50
aggregations	50
aggregator	60
aggregators	60
aggression	35
aggressive	35
aggressively	35
aggressiveness	35
aggressor	35
aggressors	35
aggrieve	50
aggrieved	40
aggrieves	50
aggrieving	50
aggro	60
aghast	35
agile	35
agilely	50
agility	35
aging	35
agings	40
agitate	35
agitated	35
agitates	35
agitating	35
agitation	35
agitations	35
agitator	35
agitators	35
agitprop	60
agleam	50
aglitter	50
aglow	35
agnostic	35
agnosticism	35
agnostics	35
ago	35
agog	50
agonies	35
agonist	60
agonists	60
agonize	35
agonized	35
agonizes	35
agonizing	35
agonizingly	40
agony	35
agoraphobia	60
agoraphobic	60
agoraphobics	60
agrarian	50
agrarianism	60
agrarians	50
agree	35
agreeable	35
agreeableness	60
agreeably	35
agreed	35
agreeing	35
agreement	35
agreements	35
agrees	35
agribusiness	50
agribusinesses	50
agricultural	35
agriculturalist	50
agriculturalists	50
agriculturally	60
agriculture	35
agriculturist	60
agriculturists	60
agronomic	60
agronomist	50
agronomists	50
agronomy	50
aground	35
ague	50
ah	35
aha	40
ahchoo	60
ahead	35
ahem	50
ahistorical	60
ahold	60
ahoy	35
aid	35
aide	35
aided	35
aides	35
aiding	35
aids	35
aigrette	60
aigrettes	60
aikido	60
ail	35
ailed	35
aileron	50
ailerons	50
ailing	35
ailment	35
ailments	35
ails	35
aim	35
aimed	35
aiming	35
aimless	35
aimlessly	35
aimlessness	50
aims	35
air	35
airbag	40
airbags	40
airbed	60
airbeds	60
airborne	35
airbrush	50
airbrushed	50
airbrushes	50
airbrushing	50
airbus	60
airbuses	60
aircraft	35
aircraftman	60
aircraftmen	60
aircrew	60
aircrews	60
airdrome	60
airdromes	60
airdrop	50
airdropped	50
airdropping	50
airdrops	50
aired	35
airfare	40
airfares	40
airfield	35
airfields	35
airflow	60
airfoil	50
airfoils	50
airfreight	60
airgun	50
airguns	50
airhead	50
airheads	50
airier	35
airiest	35
airily	40
airiness	50
airing	35
airings	40
airless	40
airlessness	60
airlift	50
airlifted	50
airlifting	50
airlifts	50
airline	35
airliner	35
airliners	35
airlines	35
airlock	50
airlocks	50
airmail	35
airmailed	35
airmailing	35
airmails	35
airman	50
airmen	50
airplane	35
airplanes	35
airplay	60
airport	35
airports	35
airs	35
airship	50
airships	50
airshow	60
airshows	60
airsick	50
airsickness	50
airspace	40
airspeed	60
airstrike	60
airstrikes	60
airstrip	35
airstrips	35
airtight	35
airtime	60
airwaves	40
airway	50
airways	50
airwoman	60
airwomen	60
airworthiness	60
airworthy	50
airy	35
aisle	35
aisles	35
aitch	60
aitches	60
ajar	35
akimbo	50
akin	35
alabaster	50
alack	60
alacrity	50
alarm	35
alarmed	35
alarming	35
alarmingly	35
alarmism	60
alarmist	35
alarmists	35
alarms	35
alas	35
alb	50
albacore	50
albacores	50
albatross	50
albatrosses	50
albeit	35
albinism	60
albino	35
albinos	35
albs	50
album	35
albumen	50
albumin	50
albuminous	60
albums	35
alchemist	50
alchemists	50
alchemy	50
alcohol	35
alcoholic	35
alcoholically	60
alcoholics	35
alcoholism	35
alcohols	35
alcove	35
alcoves	35
alder	50
alderman	40
aldermen	40
alders	50
alderwoman	40
alderwomen	40
ale	35
aleatory	60
